loc_x,loc_y,seconds_remaining,shot_distance,shot_made_flag,shot_zone_range,shot_zone,shot_zone2,hot_hand,hot_hand_ind
159,0,35,15,0,8-16 ft.,4,1200,nil,2
201,21,8,20,0,16-24 ft.,6,2500,nil,2
174,45,50,17,1,16-24 ft.,6,2500,nil,2
-141,222,29,26,1,24+ ft.,8,5000,nil,2
195,160,44,25,0,24+ ft.,8,5000,heat,3
-12,55,40,5,0,Less Than 8 ft.,2,600,heat,3
1,255,20,25,1,24+ ft.,8,5000,hot hand,6
64,49,1,8,1,8-16 ft.,4,1200,nil,2
-141,205,27,24,0,24+ ft.,8,5000,heat,3
-71,238,38,24,0,24+ ft.,8,5000,nil,2
-141,228,54,26,0,24+ ft.,8,5000,heat,3
129,15,53,12,0,8-16 ft.,4,1200,heat,3
-50,236,34,24,0,24+ ft.,8,5000,heat,3
-130,-19,12,13,1,8-16 ft.,4,1200,heat,3
-143,-29,38,14,0,8-16 ft.,4,1200,heat,3
144,2,39,14,0,8-16 ft.,4,1200,hot hand,6
153,95,25,18,1,16-24 ft.,6,2500,nil,2
94,82,46,12,1,8-16 ft.,4,1200,heat,3
0,0,4,0,1,Less Than 8 ft.,2,600,heat,3
159,116,10,19,0,16-24 ft.,6,2500,nil,2
0,0,53,0,1,Less Than 8 ft.,2,600,nil,2
0,0,42,0,1,Less Than 8 ft.,2,600,nil,2
-16,291,0,29,0,24+ ft.,8,5000,nil,2
153,110,42,18,1,16-24 ft.,6,2500,nil,2
0,0,50,0,1,Less Than 8 ft.,2,600,nil,2
102,243,43,26,1,24+ ft.,8,5000,nil,2
-227,13,2,22,1,24+ ft.,8,5000,heat,3
45,209,26,21,0,16-24 ft.,6,2500,nil,2
-143,198,9,24,0,24+ ft.,8,5000,nil,2
0,0,7,0,1,Less Than 8 ft.,2,600,nil,2
-176,34,33,17,1,16-24 ft.,6,2500,nil,2
102,116,4,15,1,8-16 ft.,4,1200,heat,3
0,0,50,0,0,Less Than 8 ft.,2,600,heat,3
45,154,12,16,0,16-24 ft.,6,2500,heat,3
-44,127,56,13,0,8-16 ft.,4,1200,nil,2
-170,-15,16,17,1,16-24 ft.,6,2500,heat,3
165,-15,23,16,0,16-24 ft.,6,2500,nil,2
54,61,12,8,1,8-16 ft.,4,1200,nil,2
0,0,14,0,1,Less Than 8 ft.,2,600,heat,3
26,72,2,7,1,Less Than 8 ft.,2,600,nil,2
193,34,55,19,0,16-24 ft.,6,2500,nil,2
-79,205,46,21,0,16-24 ft.,6,2500,nil,2
94,243,46,26,0,24+ ft.,8,5000,nil,2
237,61,1,24,0,24+ ft.,8,5000,heat,3
-44,205,41,20,0,16-24 ft.,6,2500,heat,3
172,181,31,24,0,24+ ft.,8,5000,heat,3
-107,154,14,18,1,16-24 ft.,6,2500,nil,2
81,78,58,11,0,8-16 ft.,4,1200,heat,3
0,0,57,0,0,Less Than 8 ft.,2,600,nil,2
-157,-2,38,15,1,8-16 ft.,4,1200,nil,2
-98,2,43,9,0,8-16 ft.,4,1200,nil,2
0,0,39,0,0,Less Than 8 ft.,2,600,nil,2
0,0,37,0,1,Less Than 8 ft.,2,600,nil,2
144,13,35,14,1,8-16 ft.,4,1200,nil,2
-115,-23,23,11,0,8-16 ft.,4,1200,heat,3
0,0,53,0,0,Less Than 8 ft.,2,600,heat,3
-130,17,21,13,1,8-16 ft.,4,1200,heat,3
117,154,4,19,0,16-24 ft.,6,2500,nil,2
-107,224,53,24,0,24+ ft.,8,5000,heat,3
11,241,10,24,0,24+ ft.,8,5000,heat,3
153,-4,43,15,1,8-16 ft.,4,1200,nil,2
182,36,10,18,1,16-24 ft.,6,2500,heat,3
153,207,0,25,0,24+ ft.,8,5000,nil,2
-107,26,43,11,0,8-16 ft.,4,1200,heat,3
-54,19,21,5,1,Less Than 8 ft.,2,600,heat,3
167,-8,5,16,1,16-24 ft.,6,2500,heat,3
85,184,29,20,0,16-24 ft.,6,2500,nil,2
-128,-15,36,12,0,8-16 ft.,4,1200,nil,2
123,171,20,21,1,16-24 ft.,6,2500,nil,2
-16,247,52,24,0,24+ ft.,8,5000,nil,2
214,112,10,24,0,24+ ft.,8,5000,nil,2
94,175,18,19,0,16-24 ft.,6,2500,nil,2
-122,137,7,18,1,16-24 ft.,6,2500,heat,3
123,160,44,20,1,16-24 ft.,6,2500,nil,2
-37,165,36,16,1,16-24 ft.,6,2500,heat,3
144,99,1,17,0,16-24 ft.,6,2500,heat,3
-1,68,5,6,1,Less Than 8 ft.,2,600,heat,3
0,0,28,0,1,Less Than 8 ft.,2,600,heat,3
-136,23,29,13,0,8-16 ft.,4,1200,nil,2
-122,154,29,19,0,16-24 ft.,6,2500,heat,3
-130,-15,11,13,1,8-16 ft.,4,1200,heat,3
-149,61,13,16,1,16-24 ft.,6,2500,heat,3
0,0,43,0,0,Less Than 8 ft.,2,600,nil,2
-164,28,19,16,1,16-24 ft.,6,2500,nil,2
172,17,57,17,0,16-24 ft.,6,2500,nil,2
-136,154,35,20,1,16-24 ft.,6,2500,nil,2
66,219,50,22,0,16-24 ft.,6,2500,heat,3
-157,192,56,24,0,24+ ft.,8,5000,heat,3
45,148,51,15,1,8-16 ft.,4,1200,nil,2
87,175,6,19,1,16-24 ft.,6,2500,nil,2
144,120,36,18,0,16-24 ft.,6,2500,heat,3
0,0,24,0,1,Less Than 8 ft.,2,600,heat,3
0,0,47,0,1,Less Than 8 ft.,2,600,nil,2
0,0,34,0,0,Less Than 8 ft.,2,600,nil,2
-1,61,30,6,1,Less Than 8 ft.,2,600,nil,2
-122,133,36,18,1,16-24 ft.,6,2500,nil,2
-44,219,9,22,0,16-24 ft.,6,2500,heat,3
117,2,36,11,0,8-16 ft.,4,1200,nil,2
-130,-2,39,13,1,8-16 ft.,4,1200,nil,2
-122,7,1,12,0,8-16 ft.,4,1200,heat,3
0,0,48,0,1,Less Than 8 ft.,2,600,heat,3
-122,148,22,19,1,16-24 ft.,6,2500,hot hand,6
102,175,11,20,0,16-24 ft.,6,2500,nil,2
-92,192,32,21,0,16-24 ft.,6,2500,heat,3
117,2,21,11,1,8-16 ft.,4,1200,heat,3
32,51,1,6,0,Less Than 8 ft.,2,600,nil,2
0,0,15,0,1,Less Than 8 ft.,2,600,nil,2
5,110,4,11,1,8-16 ft.,4,1200,nil,2
123,154,22,19,1,16-24 ft.,6,2500,heat,3
26,116,41,11,1,8-16 ft.,4,1200,heat,3
-185,171,26,25,0,24+ ft.,8,5000,nil,2
-176,82,40,19,0,16-24 ft.,6,2500,heat,3
102,133,14,16,0,16-24 ft.,6,2500,heat,3
138,213,12,25,1,24+ ft.,8,5000,heat,3
87,165,48,18,1,16-24 ft.,6,2500,nil,2
-122,34,17,12,0,8-16 ft.,4,1200,heat,3
26,116,44,11,1,8-16 ft.,4,1200,nil,2
110,171,15,20,0,16-24 ft.,6,2500,nil,2
-149,55,19,15,0,8-16 ft.,4,1200,nil,2
0,0,23,0,0,Less Than 8 ft.,2,600,heat,3
0,0,51,0,0,Less Than 8 ft.,2,600,nil,2
1,148,58,14,0,8-16 ft.,4,1200,nil,2
-147,141,5,20,0,16-24 ft.,6,2500,nil,2
-63,0,49,6,1,Less Than 8 ft.,2,600,nil,2
85,135,3,15,1,8-16 ft.,4,1200,nil,2
-48,15,54,5,0,Less Than 8 ft.,2,600,heat,3
157,63,7,16,0,16-24 ft.,6,2500,nil,2
-12,257,36,25,0,24+ ft.,8,5000,nil,2
43,196,45,20,0,16-24 ft.,6,2500,nil,2
150,76,12,16,0,16-24 ft.,6,2500,heat,3
-63,4,47,6,1,Less Than 8 ft.,2,600,heat,3
0,0,27,0,1,Less Than 8 ft.,2,600,hot hand,6
-149,55,1,15,0,8-16 ft.,4,1200,nil,2
39,89,57,9,0,8-16 ft.,4,1200,nil,2
0,0,54,0,0,Less Than 8 ft.,2,600,heat,3
138,120,13,18,0,16-24 ft.,6,2500,nil,2
-31,68,58,7,0,Less Than 8 ft.,2,600,heat,3
-44,13,38,4,1,Less Than 8 ft.,2,600,nil,2
-107,-2,40,10,1,8-16 ft.,4,1200,nil,2
-16,270,58,27,0,24+ ft.,8,5000,nil,2
0,0,18,0,0,Less Than 8 ft.,2,600,heat,3
0,0,23,0,0,Less Than 8 ft.,2,600,heat,3
-10,205,56,20,1,16-24 ft.,6,2500,nil,2
-240,0,36,24,1,24+ ft.,8,5000,heat,3
-23,264,35,26,0,24+ ft.,8,5000,nil,2
157,17,0,15,0,8-16 ft.,4,1200,heat,3
-138,122,8,18,1,16-24 ft.,6,2500,nil,2
32,188,8,19,0,16-24 ft.,6,2500,nil,2
0,0,59,0,0,Less Than 8 ft.,2,600,nil,2
134,66,28,14,0,8-16 ft.,4,1200,nil,2
-183,23,2,18,0,16-24 ft.,6,2500,nil,2
0,0,26,0,1,Less Than 8 ft.,2,600,heat,3
0,0,7,0,1,Less Than 8 ft.,2,600,heat,3
0,0,21,0,0,Less Than 8 ft.,2,600,hot hand,6
0,0,51,0,1,Less Than 8 ft.,2,600,heat,3
-153,34,10,15,1,8-16 ft.,4,1200,heat,3
0,0,53,0,0,Less Than 8 ft.,2,600,heat,3
0,0,6,0,1,Less Than 8 ft.,2,600,heat,3
0,0,0,0,1,Less Than 8 ft.,2,600,hot hand,6
0,0,38,0,1,Less Than 8 ft.,2,600,heat,3
-109,247,23,26,0,24+ ft.,8,5000,nil,2
-77,127,8,14,1,8-16 ft.,4,1200,heat,3
159,-19,54,16,0,16-24 ft.,6,2500,nil,2
51,-2,4,5,1,Less Than 8 ft.,2,600,heat,3
-155,-8,49,15,0,8-16 ft.,4,1200,heat,3
7,7,41,0,1,Less Than 8 ft.,2,600,nil,2
115,23,52,11,0,8-16 ft.,4,1200,nil,2
-134,7,36,13,0,8-16 ft.,4,1200,nil,2
-12,13,32,1,0,Less Than 8 ft.,2,600,heat,3
-4,40,31,4,0,Less Than 8 ft.,2,600,heat,3
51,13,51,5,0,Less Than 8 ft.,2,600,heat,3
-33,150,21,15,1,8-16 ft.,4,1200,heat,3
1,127,28,12,0,8-16 ft.,4,1200,heat,3
7,47,57,4,0,Less Than 8 ft.,2,600,heat,3
1,144,54,14,1,8-16 ft.,4,1200,heat,3
180,-13,29,18,0,16-24 ft.,6,2500,heat,3
1,228,33,22,0,16-24 ft.,6,2500,nil,2
0,0,42,0,0,Less Than 8 ft.,2,600,nil,2
0,0,6,0,0,Less Than 8 ft.,2,600,nil,2
0,0,37,0,0,Less Than 8 ft.,2,600,nil,2
-164,23,30,16,0,16-24 ft.,6,2500,heat,3
121,45,5,12,1,8-16 ft.,4,1200,heat,3
0,0,53,0,0,Less Than 8 ft.,2,600,hot hand,6
0,0,22,0,1,Less Than 8 ft.,2,600,heat,3
172,192,36,25,1,24+ ft.,8,5000,fire,10
0,0,24,0,0,Less Than 8 ft.,2,600,nil,2
-79,181,5,19,1,16-24 ft.,6,2500,heat,3
0,0,56,0,0,Less Than 8 ft.,2,600,heat,3
0,0,30,0,1,Less Than 8 ft.,2,600,nil,2
159,40,24,16,1,16-24 ft.,6,2500,nil,2
132,89,57,15,0,8-16 ft.,4,1200,nil,2
0,0,37,0,1,Less Than 8 ft.,2,600,nil,2
144,23,6,14,1,8-16 ft.,4,1200,heat,3
5,78,31,7,1,Less Than 8 ft.,2,600,nil,2
0,0,51,0,1,Less Than 8 ft.,2,600,nil,2
11,95,35,9,1,8-16 ft.,4,1200,heat,3
-58,181,5,19,0,16-24 ft.,6,2500,nil,2
0,0,16,0,0,Less Than 8 ft.,2,600,nil,2
11,312,26,31,0,24+ ft.,8,5000,heat,3
-149,89,31,17,0,16-24 ft.,6,2500,nil,2
0,0,4,0,1,Less Than 8 ft.,2,600,nil,2
0,0,4,0,0,Less Than 8 ft.,2,600,heat,3
-107,110,21,15,0,8-16 ft.,4,1200,heat,3
0,0,3,0,1,Less Than 8 ft.,2,600,hot hand,6
-197,17,57,19,1,16-24 ft.,6,2500,nil,2
-111,135,28,17,0,16-24 ft.,6,2500,heat,3
85,2,11,8,0,8-16 ft.,4,1200,nil,2
121,175,53,21,1,16-24 ft.,6,2500,heat,3
127,163,15,20,0,16-24 ft.,6,2500,nil,2
0,0,16,0,0,Less Than 8 ft.,2,600,nil,2
106,163,50,19,0,16-24 ft.,6,2500,nil,2
-160,34,43,16,0,16-24 ft.,6,2500,nil,2
142,146,6,20,1,16-24 ft.,6,2500,heat,3
-27,85,16,8,0,8-16 ft.,4,1200,nil,2
-27,61,25,6,1,Less Than 8 ft.,2,600,nil,2
49,23,55,5,0,Less Than 8 ft.,2,600,nil,2
127,169,50,21,0,16-24 ft.,6,2500,nil,2
163,7,15,16,0,16-24 ft.,6,2500,heat,3
-132,61,21,14,0,8-16 ft.,4,1200,heat,3
-54,192,57,19,1,16-24 ft.,6,2500,nil,2
-6,203,47,20,0,16-24 ft.,6,2500,nil,2
0,0,51,0,1,Less Than 8 ft.,2,600,nil,2
134,-25,20,13,0,8-16 ft.,4,1200,heat,3
-132,108,18,17,1,16-24 ft.,6,2500,heat,3
-132,-2,52,13,1,8-16 ft.,4,1200,hot hand,6
73,112,23,13,0,8-16 ft.,4,1200,heat,3
0,0,30,0,1,Less Than 8 ft.,2,600,nil,2
0,0,44,0,1,Less Than 8 ft.,2,600,heat,3
-141,-15,8,14,0,8-16 ft.,4,1200,nil,2
0,0,39,0,0,Less Than 8 ft.,2,600,heat,3
-174,28,18,17,0,16-24 ft.,6,2500,heat,3
0,0,4,0,1,Less Than 8 ft.,2,600,hot hand,6
-111,57,27,12,0,8-16 ft.,4,1200,hot hand,6
0,0,8,0,0,Less Than 8 ft.,2,600,heat,3
-111,34,33,11,1,8-16 ft.,4,1200,nil,2
58,203,59,21,0,16-24 ft.,6,2500,nil,2
0,0,22,0,1,Less Than 8 ft.,2,600,heat,3
73,87,4,11,1,8-16 ft.,4,1200,heat,3
0,0,1,0,0,Less Than 8 ft.,2,600,nil,2
0,0,0,0,1,Less Than 8 ft.,2,600,nil,2
37,99,59,10,0,8-16 ft.,4,1200,heat,3
-170,15,49,17,1,16-24 ft.,6,2500,nil,2
0,0,13,0,0,Less Than 8 ft.,2,600,nil,2
-92,4,12,9,1,8-16 ft.,4,1200,nil,2
180,177,1,25,0,24+ ft.,8,5000,nil,2
-134,11,56,13,1,8-16 ft.,4,1200,heat,3
-12,264,17,26,1,24+ ft.,8,5000,heat,3
0,0,14,0,1,Less Than 8 ft.,2,600,heat,3
0,0,37,0,1,Less Than 8 ft.,2,600,heat,3
1,184,6,18,0,16-24 ft.,6,2500,nil,2
-141,219,39,26,0,24+ ft.,8,5000,nil,2
0,0,33,0,0,Less Than 8 ft.,2,600,nil,2
144,34,2,14,0,8-16 ft.,4,1200,nil,2
0,0,31,0,0,Less Than 8 ft.,2,600,nil,2
0,0,4,0,1,Less Than 8 ft.,2,600,heat,3
167,0,37,16,0,16-24 ft.,6,2500,heat,3
-16,268,1,26,1,24+ ft.,8,5000,heat,3
0,0,10,0,1,Less Than 8 ft.,2,600,nil,2
153,99,55,18,1,16-24 ft.,6,2500,nil,2
-151,87,31,17,0,16-24 ft.,6,2500,nil,2
-29,110,51,11,1,8-16 ft.,4,1200,nil,2
153,4,49,15,0,8-16 ft.,4,1200,heat,3
161,66,36,17,0,16-24 ft.,6,2500,nil,2
191,177,39,26,0,24+ ft.,8,5000,heat,3
0,0,54,0,1,Less Than 8 ft.,2,600,heat,3
-155,47,41,16,0,16-24 ft.,6,2500,nil,2
-113,148,10,18,0,16-24 ft.,6,2500,heat,3
-92,169,2,19,1,16-24 ft.,6,2500,heat,3
0,0,57,0,0,Less Than 8 ft.,2,600,heat,3
43,57,40,7,0,Less Than 8 ft.,2,600,heat,3
-141,70,9,15,0,8-16 ft.,4,1200,nil,2
58,26,37,6,0,Less Than 8 ft.,2,600,nil,2
-149,125,39,19,0,16-24 ft.,6,2500,heat,3
0,0,50,0,1,Less Than 8 ft.,2,600,heat,3
9,11,38,1,1,Less Than 8 ft.,2,600,hot hand,6
134,129,12,18,1,16-24 ft.,6,2500,heat,3
148,97,47,17,0,16-24 ft.,6,2500,nil,2
22,4,41,2,0,Less Than 8 ft.,2,600,nil,2
51,40,2,6,1,Less Than 8 ft.,2,600,heat,3
-206,91,30,22,0,16-24 ft.,6,2500,heat,3
-71,129,33,14,1,8-16 ft.,4,1200,hot hand,6
9,15,14,1,0,Less Than 8 ft.,2,600,heat,3
-56,28,32,6,0,Less Than 8 ft.,2,600,nil,2
140,11,20,14,1,8-16 ft.,4,1200,nil,2
1,289,55,28,0,24+ ft.,8,5000,nil,2
1,34,55,3,0,Less Than 8 ft.,2,600,heat,3
9,0,34,0,1,Less Than 8 ft.,2,600,nil,2
-48,91,0,10,0,8-16 ft.,4,1200,nil,2
-94,-4,49,9,0,8-16 ft.,4,1200,nil,2
-65,169,18,18,0,16-24 ft.,6,2500,heat,3
9,4,4,0,1,Less Than 8 ft.,2,600,heat,3
237,4,2,23,0,24+ ft.,8,5000,hot hand,6
0,0,23,0,0,Less Than 8 ft.,2,600,hot hand,6
62,217,15,22,0,16-24 ft.,6,2500,heat,3
-193,93,39,21,1,16-24 ft.,6,2500,heat,3
-23,126,5,12,0,8-16 ft.,4,1200,heat,3
3,66,28,6,1,Less Than 8 ft.,2,600,nil,2
146,19,5,14,0,8-16 ft.,4,1200,nil,2
77,4,4,7,0,Less Than 8 ft.,2,600,nil,2
0,0,3,0,0,Less Than 8 ft.,2,600,nil,2
0,0,14,0,0,Less Than 8 ft.,2,600,nil,2
18,42,16,4,1,Less Than 8 ft.,2,600,nil,2
-155,34,18,15,1,8-16 ft.,4,1200,nil,2
-92,158,15,18,1,16-24 ft.,6,2500,nil,2
-191,80,32,20,0,16-24 ft.,6,2500,nil,2
0,0,53,0,1,Less Than 8 ft.,2,600,nil,2
-18,203,46,20,1,16-24 ft.,6,2500,nil,2
22,80,19,8,0,8-16 ft.,4,1200,heat,3
-12,101,39,10,1,8-16 ft.,4,1200,heat,3
7,253,17,25,1,24+ ft.,8,5000,nil,2
-170,-2,36,17,1,16-24 ft.,6,2500,nil,2
-149,0,23,14,0,8-16 ft.,4,1200,nil,2
201,148,44,24,1,24+ ft.,8,5000,heat,3
-200,7,57,20,1,16-24 ft.,6,2500,heat,3
-12,57,29,5,0,Less Than 8 ft.,2,600,nil,2
0,0,8,0,1,Less Than 8 ft.,2,600,nil,2
153,152,36,21,0,16-24 ft.,6,2500,heat,3
7,213,23,21,0,16-24 ft.,6,2500,nil,2
-18,7,21,1,0,Less Than 8 ft.,2,600,heat,3
-42,209,43,21,1,16-24 ft.,6,2500,nil,2
180,118,11,21,1,16-24 ft.,6,2500,nil,2
-170,34,28,17,1,16-24 ft.,6,2500,nil,2
79,253,3,26,0,24+ ft.,8,5000,heat,3
188,392,0,43,0,24+ ft.,8,5000,heat,3
-122,173,39,21,0,16-24 ft.,6,2500,nil,2
-191,59,25,19,1,16-24 ft.,6,2500,nil,2
5,13,39,1,1,Less Than 8 ft.,2,600,nil,2
132,179,25,22,1,16-24 ft.,6,2500,nil,2
-1,26,30,2,0,Less Than 8 ft.,2,600,heat,3
11,251,50,25,0,24+ ft.,8,5000,heat,3
172,59,19,18,0,16-24 ft.,6,2500,heat,3
-50,26,51,5,1,Less Than 8 ft.,2,600,heat,3
-1,53,45,5,0,Less Than 8 ft.,2,600,heat,3
106,163,10,19,1,16-24 ft.,6,2500,heat,3
0,0,55,0,1,Less Than 8 ft.,2,600,heat,3
142,230,8,27,0,24+ ft.,8,5000,nil,2
0,0,35,0,1,Less Than 8 ft.,2,600,nil,2
0,0,5,0,1,Less Than 8 ft.,2,600,nil,2
0,0,42,0,1,Less Than 8 ft.,2,600,nil,2
64,131,30,14,0,8-16 ft.,4,1200,nil,2
1,85,8,8,0,8-16 ft.,4,1200,heat,3
1,91,1,9,0,8-16 ft.,4,1200,heat,3
0,0,18,0,1,Less Than 8 ft.,2,600,heat,3
14,61,5,6,0,Less Than 8 ft.,2,600,nil,2
0,0,43,0,1,Less Than 8 ft.,2,600,nil,2
0,0,13,0,1,Less Than 8 ft.,2,600,heat,3
87,66,37,10,0,8-16 ft.,4,1200,heat,3
-31,49,12,5,0,Less Than 8 ft.,2,600,heat,3
30,21,59,3,0,Less Than 8 ft.,2,600,nil,2
0,0,50,0,1,Less Than 8 ft.,2,600,nil,2
-168,17,26,16,0,16-24 ft.,6,2500,nil,2
0,0,55,0,1,Less Than 8 ft.,2,600,nil,2
0,0,48,0,0,Less Than 8 ft.,2,600,nil,2
0,0,1,0,0,Less Than 8 ft.,2,600,heat,3
-52,150,20,15,0,8-16 ft.,4,1200,heat,3
-25,251,8,25,1,24+ ft.,8,5000,hot hand,6
1,101,46,10,0,8-16 ft.,4,1200,nil,2
-111,125,21,16,0,16-24 ft.,6,2500,heat,3
115,163,8,19,0,16-24 ft.,6,2500,heat,3
0,0,13,0,1,Less Than 8 ft.,2,600,nil,2
7,91,22,9,0,8-16 ft.,4,1200,nil,2
-84,91,28,12,0,8-16 ft.,4,1200,heat,3
121,141,16,18,0,16-24 ft.,6,2500,nil,2
-189,51,0,19,0,16-24 ft.,6,2500,nil,2
0,0,36,0,0,Less Than 8 ft.,2,600,nil,2
85,156,25,17,0,16-24 ft.,6,2500,nil,2
0,0,22,0,1,Less Than 8 ft.,2,600,heat,3
22,74,9,7,1,Less Than 8 ft.,2,600,heat,3
155,101,34,18,0,16-24 ft.,6,2500,nil,2
-90,146,26,17,1,16-24 ft.,6,2500,heat,3
169,40,43,17,0,16-24 ft.,6,2500,nil,2
-84,247,3,26,0,24+ ft.,8,5000,nil,2
0,0,38,0,0,Less Than 8 ft.,2,600,heat,3
0,0,59,0,1,Less Than 8 ft.,2,600,nil,2
-39,203,23,20,1,16-24 ft.,6,2500,nil,2
-141,23,50,14,1,8-16 ft.,4,1200,nil,2
-27,112,7,11,0,8-16 ft.,4,1200,nil,2
0,0,34,0,1,Less Than 8 ft.,2,600,heat,3
148,7,27,14,0,8-16 ft.,4,1200,heat,3
134,135,23,19,0,16-24 ft.,6,2500,nil,2
-54,253,6,25,0,24+ ft.,8,5000,nil,2
-141,85,38,16,0,16-24 ft.,6,2500,heat,3
-111,2,23,11,0,8-16 ft.,4,1200,nil,2
49,118,11,12,1,8-16 ft.,4,1200,nil,2
-98,131,33,16,0,16-24 ft.,6,2500,heat,3
0,0,12,0,1,Less Than 8 ft.,2,600,nil,2
0,0,53,0,0,Less Than 8 ft.,2,600,heat,3
-126,57,25,13,0,8-16 ft.,4,1200,heat,3
94,108,44,14,0,8-16 ft.,4,1200,nil,2
-63,125,43,13,0,8-16 ft.,4,1200,nil,2
142,108,34,17,0,16-24 ft.,6,2500,heat,3
0,0,47,0,1,Less Than 8 ft.,2,600,heat,3
85,13,34,8,0,8-16 ft.,4,1200,nil,2
0,0,16,0,0,Less Than 8 ft.,2,600,heat,3
0,0,58,0,1,Less Than 8 ft.,2,600,heat,3
94,-2,47,9,1,8-16 ft.,4,1200,hot hand,6
14,74,59,7,0,Less Than 8 ft.,2,600,nil,2
115,85,26,14,0,8-16 ft.,4,1200,nil,2
0,0,0,0,0,Less Than 8 ft.,2,600,nil,2
-77,7,29,7,1,Less Than 8 ft.,2,600,nil,2
58,47,40,7,0,Less Than 8 ft.,2,600,heat,3
0,0,37,0,1,Less Than 8 ft.,2,600,heat,3
-77,186,55,20,0,16-24 ft.,6,2500,nil,2
73,163,46,17,1,16-24 ft.,6,2500,heat,3
94,2,48,9,1,8-16 ft.,4,1200,heat,3
-6,169,10,16,0,16-24 ft.,6,2500,hot hand,6
132,114,57,17,1,16-24 ft.,6,2500,heat,3
-172,34,50,17,0,16-24 ft.,6,2500,heat,3
153,213,48,26,0,24+ ft.,8,5000,nil,2
-157,63,8,16,0,16-24 ft.,6,2500,nil,2
119,91,36,14,1,8-16 ft.,4,1200,nil,2
161,74,42,17,0,16-24 ft.,6,2500,nil,2
-94,129,53,15,1,8-16 ft.,4,1200,nil,2
-145,97,47,17,1,16-24 ft.,6,2500,heat,3
-151,91,2,17,0,16-24 ft.,6,2500,heat,3
0,0,4,0,0,Less Than 8 ft.,2,600,nil,2
62,57,13,8,1,8-16 ft.,4,1200,heat,3
77,152,17,17,0,16-24 ft.,6,2500,nil,2
0,0,44,0,1,Less Than 8 ft.,2,600,nil,2
-124,135,5,18,0,16-24 ft.,6,2500,nil,2
0,0,26,0,0,Less Than 8 ft.,2,600,nil,2
-94,274,24,28,0,24+ ft.,8,5000,nil,2
-136,47,30,14,0,8-16 ft.,4,1200,nil,2
-50,47,2,6,1,Less Than 8 ft.,2,600,nil,2
77,91,0,11,1,8-16 ft.,4,1200,nil,2
47,91,32,10,1,8-16 ft.,4,1200,nil,2
11,-6,7,1,1,Less Than 8 ft.,2,600,nil,2
-44,0,51,4,0,Less Than 8 ft.,2,600,heat,3
3,57,31,5,1,Less Than 8 ft.,2,600,heat,3
-229,70,48,23,0,24+ ft.,8,5000,heat,3
98,234,0,25,1,24+ ft.,8,5000,heat,3
47,9,43,4,0,Less Than 8 ft.,2,600,nil,2
-145,9,8,14,0,8-16 ft.,4,1200,nil,2
89,196,47,21,1,16-24 ft.,6,2500,nil,2
11,9,48,1,1,Less Than 8 ft.,2,600,nil,2
24,42,23,4,0,Less Than 8 ft.,2,600,nil,2
3,200,44,20,0,16-24 ft.,6,2500,nil,2
32,47,27,5,1,Less Than 8 ft.,2,600,nil,2
-65,55,3,8,0,8-16 ft.,4,1200,nil,2
-23,194,14,19,0,16-24 ft.,6,2500,nil,2
-166,55,41,17,0,16-24 ft.,6,2500,heat,3
-1,49,33,4,0,Less Than 8 ft.,2,600,heat,3
-151,-38,40,15,0,8-16 ft.,4,1200,nil,2
140,-38,25,14,1,8-16 ft.,4,1200,nil,2
146,144,53,20,0,16-24 ft.,6,2500,nil,2
-8,255,46,25,0,24+ ft.,8,5000,nil,2
62,154,9,16,0,16-24 ft.,6,2500,nil,2
0,0,34,0,1,Less Than 8 ft.,2,600,nil,2
-115,-32,7,11,0,8-16 ft.,4,1200,nil,2
161,21,27,16,0,16-24 ft.,6,2500,nil,2
132,61,58,14,0,8-16 ft.,4,1200,heat,3
68,55,38,8,0,8-16 ft.,4,1200,heat,3
0,0,39,0,0,Less Than 8 ft.,2,600,hot hand,6
0,0,16,0,1,Less Than 8 ft.,2,600,hot hand,6
-1,51,31,5,1,Less Than 8 ft.,2,600,heat,3
-101,0,34,10,0,8-16 ft.,4,1200,heat,3
-193,66,2,20,1,16-24 ft.,6,2500,nil,2
-71,17,2,7,0,Less Than 8 ft.,2,600,heat,3
0,0,56,0,1,Less Than 8 ft.,2,600,heat,3
39,34,16,5,0,Less Than 8 ft.,2,600,nil,2
153,40,3,15,0,8-16 ft.,4,1200,nil,2
-16,55,32,5,0,Less Than 8 ft.,2,600,heat,3
-44,7,18,4,1,Less Than 8 ft.,2,600,heat,3
0,0,42,0,0,Less Than 8 ft.,2,600,heat,3
0,0,36,0,0,Less Than 8 ft.,2,600,heat,3
140,13,14,14,0,8-16 ft.,4,1200,heat,3
0,0,38,0,1,Less Than 8 ft.,2,600,nil,2
132,110,24,17,0,16-24 ft.,6,2500,nil,2
68,-6,58,6,1,Less Than 8 ft.,2,600,heat,3
18,200,19,20,0,16-24 ft.,6,2500,nil,2
125,55,6,13,0,8-16 ft.,4,1200,nil,2
0,0,42,0,0,Less Than 8 ft.,2,600,nil,2
0,0,18,0,0,Less Than 8 ft.,2,600,nil,2
98,-6,13,9,0,8-16 ft.,4,1200,nil,2
146,82,9,16,1,16-24 ft.,6,2500,nil,2
98,99,55,13,1,8-16 ft.,4,1200,nil,2
-109,49,48,11,0,8-16 ft.,4,1200,heat,3
140,42,32,14,0,8-16 ft.,4,1200,nil,2
